,Unnamed: 0,scenario,mmsi,ship_type,width,length,draught,nav_status,timestamp,lat,lon,sog,cog,timestamp_obj,ts_mmsi,R_x,R_y,theta,V_x,V_y,f_min,DDV,TDV,V_TDV,V_chg,cog_TDV,cog_chg,theta_rad,distance,ts_dot,DDV_dot,cog_dot,sog_dot,distance_dot
283,283,25817f4541,246866000,Cargo,30.0,180.0,10.2,0,1577878680.0,56.14946863636364,11.221893818181815,11.4,225.18181818181816,2020-01-01 12:38:00,266476000,-3.150224238897593,-2.13161266712268,170.81818181818187,34.92326591559793,29.7439714776785,0.7765063671757441,0.2234936328242559,0.0761511952913025,11.4,0.0,225.809759495,0.6279413131818217,2.9813396949975877,3.8036410606122892,60.0,-0.047546288062369324,-0.016666666666660983,0.0,-0.06503861625557761
289,289,25817f4541,246866000,Cargo,30.0,180.0,10.2,0,1577878740.0,56.14726936363636,11.217886090909092,11.4,225.4,2020-01-01 12:39:00,266476000,-2.8543759717306783,-1.878755024813415,169.60000000000002,35.14493186611124,29.49217793147668,0.7249706785520311,0.2750293214479689,0.0681640708559461,11.4,0.0,225.94552592272728,0.5455259227272506,2.9600784113823835,3.4171892881804355,60.0,0.008589281437285495,0.036363636363641184,0.0,-0.06440862873864228
295,295,25817f4541,246866000,Cargo,30.0,180.0,10.2,0,1577878800.0,56.14504009090909,11.21383290909091,11.4,225.4,2020-01-01 12:40:00,266476000,-2.548480394758071,-1.618108398498704,170.35000000000002,35.1215031586607,29.86093628592093,0.7693359215492047,0.2306640784507952,0.0586962517709809,11.4,0.0,226.0,0.5999999999999943,2.9731683807723406,3.018779076341675,60.0,-0.007394207166195613,0.0,0.0,-0.06640170197312674
301,301,25817f4541,246866000,Cargo,30.0,180.0,10.2,0,1577878860.0,56.14282645454546,11.209776636363635,11.4,225.61818181818185,2020-01-01 12:41:00,266476000,-2.25696379878485,-1.355438958028589,173.38181818181818,34.23146487869697,31.006442493702195,0.9537201506017876,0.0462798493982125,0.0482534492834605,11.4,0.0,225.91143196909093,0.2932501509090741,3.0260835903668957,2.6326983036358285,60.0,-0.030730704842097115,0.036363636363641184,0.0,-0.06434679545097444
307,307,25817f4541,246866000,Cargo,30.0,180.0,10.2,0,1577878920.0,56.14061018181818,11.20575009090909,11.4,225.68181818181816,2020-01-01 12:42:00,266476000,-1.9625255887259252,-1.0881520626352608,173.31818181818187,34.21386516874513,31.023647341531003,0.9556173508444206,0.0443826491555794,0.0396269572370072,11.4,0.0,225.82361818666664,0.1418000048485055,3.024972926297446,2.2440101599193825,60.0,-0.00031620004043885044,0.01060606060605096,0.0,-0.06478135728607433
320,320,25817f4541,266476000,Tanker,17.0,119.0,7.0,0,1577878320.0,56.0800268,11.1385619,12.17,26.0,2020-01-01 12:32:00,246866000,4.97288455028912,3.601308015903228,-159.0363636363636,-35.987668335454,-26.14120324199331,0.0188137299095299,0.98118627009047,0.1378882220750508,12.30982473,0.0114892958093673,35.54607922999998,9.546079229999982,-2.7757081758535267,6.139951154196022,60.0,0.004696853803937029,-0.16666666666666666,0.02833333333333332,-0.06271502490203466
326,326,25817f4541,266476000,Tanker,17.0,119.0,7.0,0,1577878380.0,56.082985,11.1416451,12.1,32.69999999999999,2020-01-01 12:33:00,246866000,4.667142674851295,3.362050682954359,-165.5818181818181,-34.47544553165721,-28.517231683387838,0.7111811590209417,0.2888188409790583,0.1217581354584657,12.304556487272729,0.016905494815928,35.62861503272726,2.928615032727272,-2.8899479087113367,5.752008826677161,60.0,-0.11539457151856862,1.1166666666666647,-0.011666666666666714,-0.06465705458647679
332,332,25817f4541,266476000,Tanker,17.0,119.0,7.0,0,1577878440.0,56.0857469,11.1449332,12.1,33.0,2020-01-01 12:34:00,246866000,4.370531373852251,3.1178387749061014,-167.26363636363635,-34.921314371276864,-28.401227760792064,0.6173539728749143,0.3826460271250856,0.1133781890755238,12.4,0.0247933884297521,38.85291848,5.85291848,-2.9193011734039698,5.368655615341221,60.0,0.015637864357671217,0.0500000000000019,0.0,-0.06389220188932339
338,338,25817f4541,266476000,Tanker,17.0,119.0,7.0,0,1577878500.0,56.088611,11.148277666666669,12.166666666666666,32.0,2020-01-01 12:35:00,246866000,4.0671940227766905,2.873023453993241,-167.18181818181813,-35.637552124426975,-28.01519541235858,0.4708886695000449,0.5291113304999551,0.1054434304906723,12.4,0.0191780821917809,39.0,7.0,-2.9178731767432464,4.979591447709912,60.0,0.024410883895811576,-0.16666666666666666,0.011111111111111072,-0.06484402793855153
344,344,25817f4541,266476000,Tanker,17.0,119.0,7.0,0,1577878560.0,56.091489,11.151622333333332,12.2,32.0,2020-01-01 12:36:00,246866000,3.755695713811708,2.6282887895427787,-167.0818181818181,-35.66545538424758,-28.07670202860061,0.4768647634132208,0.5231352365867792,0.0965203489218922,12.4,0.0163934426229509,38.5604942,6.560494200000001,-2.9161278474912518,4.584010499113182,60.0,-0.0009960156521959806,0.0,0.005555555555555536,-0.06593015809945497
350,350,25817f4541,266476000,Tanker,17.0,119.0,7.0,0,1577878620.0,56.09431675,11.1548915,12.2,32.0,2020-01-01 12:37:00,246866000,3.450676670137072,2.383568591345392,-166.71818181818185,-35.70348083623007,-28.31323028252602,0.5121935507866568,0.4878064492133431,0.0872299513680813,12.4,0.0163934426229509,39.0,7.0,-2.9097811956658197,4.1938727581409205,60.0,-0.005888131228906014,0.0,0.0,-0.06502295682871025
356,356,25817f4541,266476000,Tanker,17.0,119.0,7.0,0,1577878680.0,56.09705425,11.15846225,12.275,36.0,2020-01-01 12:38:00,246866000,3.152182177136659,2.128716242267318,-170.81818181818187,-34.92326591559793,-29.7439714776785,0.7279153978198065,0.2720846021801935,0.0750745244928639,12.4,0.010183299389002,40.27272727272725,4.272727272727252,-2.9813396949975877,3.803641060608992,60.0,-0.0359536411721916,0.6666666666666666,0.012500000000000178,-0.06503861625532144
362,362,25817f4541,266476000,Tanker,17.0,119.0,7.0,0,1577878740.0,56.0997795,11.161975,12.3,35.0,2020-01-01 12:39:00,246866000,2.855897158044242,1.8764418599879749,-169.60000000000002,-35.14493186611124,-29.49217793147668,0.6977721930164184,0.3022278069835816,0.0671645687468418,12.429451084181816,0.0105244783887655,42.83584894000001,7.835848940000012,-2.9600784113823835,3.4171892881782693,60.0,0.005023867467231352,-0.16666666666666666,0.004166666666666726,-0.06440862873845377
